,function_name,LLVM_globalisel_similarity
107,4_function_74,"[['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
108,8_function_45,"[['rem', 'a3,', 'a0,', 'a0'], ['andi', 'a2,', 'a2,', '1'], ['or', 'a1,', 'a1,', 'a0'], ['bnez', 'a2,', '.LBB0_2'], ['mv', 'a0,', 'a1'], ['andi', 'a4,', 'a3,', '1'], ['mv', 'a2,', 'a1'], ['bnez', 'a4,', '.LBB0_4'], ['mv', 'a2,', 'a0'], ['and', 'a1,', 'a3,', 'a1'], ['xor', 'a1,', 'a2,', 'a1'], ['snez', 'a0,', 'a1'], ['ret']]"
109,4_function_47,"[['rem', 'a2,', 'a2,', 'a0'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['divu', 'a1,', 'a1,', 'a2'], ['divu', 'a0,', 'a0,', 'a1'], ['ret']]"
110,7_function_62,"[['andi', 'a2,', 'a2,', '1'], ['andi', 'a3,', 'a1,', '1'], ['mv', 'a1,', 'a2'], ['beqz', 'a3,', '.LBB0_3'], ['sext.w', 'a0,', 'a0'], ['bltu', 'a1,', 'a1,', '.LBB0_4'], ['and', 'a0,', 'a0,', 'a1'], ['ret'], ['mv', 'a1,', 'a0'], ['sext.w', 'a0,', 'a0'], ['bgeu', 'a1,', 'a1,', '.LBB0_2'], ['and', 'a0,', 'a0,', 'a2'], ['ret']]"
111,6_function_39,"[['andi', 'a1,', 'a1,', '1'], ['srl', 'a1,', 'a0,', 'a1'], ['zext.w', 'a1,', 'a1'], ['divu', 'a0,', 'a0,', 'a1'], ['div', 'a0,', 'a1,', 'a0'], ['ret']]"
112,5_function_67,"[['andi', 'a0,', 'a0,', '1'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
113,4_function_28,"[['zext.w', 'a0,', 'a0'], ['xor', 'a1,', 'a1,', 'a0'], ['slt', 'a0,', 'a1,', 'a0'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
114,5_function_44,"[['slt', 'a0,', 'a0,', 'a0'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
115,4_function_70,"[['bge', 'a0,', 'a0,', '.LBB0_2'], ['mv', 'a1,', 'a2'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
116,3_function_0,[['ret']]
